word,chinese_meaning,phonetic,part_of_speech,english_meaning
waiter,n. 侍者,'weitә,,n. a person whose occupation is to serve at table (as in a restaurant)\nn. a person who waits or awaits
waitress,"n. 女侍者, 女服务员",'weitris,,n. a woman waiter
waken,"vt. 唤醒, 使觉醒, 激发\nvi. 觉醒, 醒来",'weikn,,v cause to become awake or conscious\nv stop sleeping
wallet,"n. 皮夹\n[法] 皮包, 皮夹, 钱袋",'wɒlit,,n. a pocket-size case for holding papers and paper money
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒\nvt. 在...漫游",'wɒndә,,v. go via an indirect route or at no set pace
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争\nvi. 进行战争, 作战, 打仗, 战斗\na. 战争的, 战时用的",wɒ:,,n. the waging of armed conflict against an enemy\nn. a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply\nn. an active struggle between competing entities\nn. a concerted campaign to end something that is injurious
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌\nvt. 使入病房, 守护, 保卫",wɒ:d,,n. a person who is under the protection or in the custody of another\nn. a district into which a city or town is divided for the purpose of administration and elections\nn. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care\nn. English economist and conservationist (1914-1981)
wardrobe,"n. 衣橱, 衣室, 全部衣服",'wɒ:drәub,,n. a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes\nn. collection of clothing belonging to one person\nn. collection of costumes belonging to a theatrical company
warehouse,"n. 仓库, 货栈, 大商店\nvt. 储入仓库",'wєәhaus,,n. a storehouse for goods and merchandise\nv. store in a warehouse
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争\n[法] 战事, 作战, 交战",'wɒ:fєә,,n the waging of armed conflict against an enemy\nn an active struggle between competing entities
warmth,"n. 温暖, 温情, 暖和, 激动, 生气",wɒ:mθ,,n. the quality of having a moderate degree of heat
warn,"vt. 警告, 提醒, 通知\nvi. 发出警告",wɒ:n,,"v. notify of danger, potential harm, or risk\nv. admonish or counsel in terms of someone's behavior\nv. ask to go away\nv. notify, usually in advance"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状\nvt. 授权给, 保证, 担保, 批准, 使有正当理由",'wɒ:rәnt,,n. a writ from a court commanding police to perform specified acts\nn. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物\na. 废弃的, 荒芜的, 多余的\nvt. 浪费, 消耗, 使荒芜\nvi. 浪费, 消耗, 变消瘦",weist,,n. any materials unused and rejected as worthless or unwanted\nn. useless or profitless activity; using or expending or consuming thoughtlessly or carelessly\nn. (law) reduction in the value of an estate caused by act or neglect\nv. spend thoughtlessly; throw away
waterfall,n. 瀑布,'wɒtәfɒ:l,,n. a steep descent of the water of a river
waterproof,"n. 防水材料\na. 不透水的, 防水的\nvt. 使防水",'wɒtәpru:f,,n. any fabric impervious to water\nv. make watertight
watt,n. 瓦(特)\n[化] 瓦; 瓦特,wɒt,,n. a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm\nn. Scottish engineer and inventor whose improvements in the steam engine led to its wide use in industry (1736-1819)
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变\nvi. 波动, 飘动, 挥手示意, 起伏\nvt. 使波动, 使飘扬, 挥舞, 使成波浪形",weiv,,n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)\nn. a movement like that of a sudden occurrence or increase in a specified phenomenon\nn. (physics) a movement up and down or back and forth\nn. something that rises rapidly
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈\nvi. 变大, 增大, 月亮渐满\nvt. 上蜡于",wæks,,n. any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water\nv. cover with wax\nv. go up or advance\nv. increase in phase
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的\n[经] 疲软的",wi:k,,a. wanting in physical strength\ns. tending downward in price\ns. deficient or lacking in some skill\ns. (used of verbs) having standard (or regular) inflection
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量\n[经] 财富",welθ,,n. the state of being rich and affluent; having a plentiful supply of material goods and money\nn. the quality of profuse abundance\nn. an abundance of material possessions and resources\nn. property that has economic utility: a monetary value or an exchange value
wealthy,"a. 富有的, 丰裕的, 充分的",'welθi,,s having an abundant supply of money or possessions of value
weapon,"n. 武器, 兵器\nvt. 武装",'wepәn,,n. any instrument or instrumentality used in fighting or hunting\nn. a means of persuading or arguing
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的\nvt. 使疲倦, 使厌烦\nvi. 疲乏, 生厌, 不耐烦",'wiәri,,v exhaust or get tired through overuse or great strain or stress\nv lose interest or become bored with something or somebody\ns physically and mentally fatigued
weave,"n. 编法, 织法, 编织式样\nvt. 编织, 组合, 编排, 使迂回前进\nvi. 纺织, 迂回行进",wi:v,,"n. pattern of weaving or structure of a fabric\nv. interlace by or as if by weaving\nv. create a piece of cloth by interlacing strands of fabric, such as wool or cotton\nv. to move or cause to move in a sinuous, spiral, or circular course"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸\nvi. 结网, 形成网\nvt. 织蜘蛛网于, 使落入圈套",web,,n. an intricate network suggesting something that was formed by weaving or interweaving\nn. an intricate trap that entangles or ensnares its victim\nn. a fabric (especially a fabric in the process of being woven)\nn. membrane connecting the toes of some aquatic birds and mammals
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合\n[法] 结婚, 婚礼, 结婚纪念日",'wediŋ,,n. the social event at which the ceremony of marriage is performed\nn. a party of people at a wedding
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西\nvt. 楔住, 挤进, 楔入\nvi. 楔入, 挤进",wedʒ,,n. any shape that is triangular in cross section\nn. (golf) an iron with considerable loft and a broad sole\nn. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them\nv. squeeze like a wedge into a tight space
weed,"n. 杂草, 野草\nvi. 除草\nvt. 除...的草, 剔除",wi:d,,n. any plant that crowds out cultivated plants\nn. a black band worn by a man (on the arm or hat) as a sign of mourning\nv. clear of weeds
weekday,"n. 周日, 平日\n[计] 工作日",'wi:kdei,,n. any day except Sunday (and sometimes except Saturday)
weekly,"n. 周刊, 周报\na. 每周的, 一周一次的, 周刊的\nadv. 每周, 一周一次",'wi:kli,,n. a periodical that is published every week (or 52 issues per year)\ns. of or occurring every seven days
weep,"n. 哭, 哭泣\nvi. 哭泣, 流泪, 哀悼, 滴落\nvt. 哭着使..., 悲叹, 滴下",wi:p,,"v shed tears because of sadness, rage, or pain"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚\nvi. 称分量, 有意义, 重压, 起锚\nn. 过秤, 称分量",wei,,v. have a certain weight\nv. determine the weight of\nv. to be oppressive or burdensome
weird,"a. 怪异的, 超自然的, 不可思议的\nn. 命运, 预言, 符咒",wiәd,,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
weld,"n. 焊接处, 焊接\nvt. 焊接, 使密接, 使结合, 使成整体\nvi. 焊牢",weld,,n. United States abolitionist (1803-1895)\nn. a metal joint formed by softening with heat and fusing or hammering together\nv. join together by heating\nv. unite closely or intimately
welfare,"n. 福利, 安宁, 幸福, 福利事业\na. 福利的",'welfєә,,n governmental provision of economic assistance to persons in need\nn something that aids or promotes well-being\nn a contented state of being happy and healthy and prosperous
whale,"n. 鲸\nvi. 捕鲸\nvt. 使惨败, 猛揍",hweil,,n. any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head\nv. hunt for whales
whatever,pron. 无论什么,hwɒt'evә,,s one or some or every or all without specification
whatsoever,pron. 无论什么,.hwɒtsәu'evә,,s one or some or every or all without specification
wheat,n. 小麦,hwi:t,,n. annual or biennial grass having erect flower spikes and light brown grains\nn. grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物\nvt. 使旋转, 转动, 使转向\nvi. 旋转, 转弯, 盘旋",hwi:l,,n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)\nn. forces that provide energy and direction\nn. a circular helm to control the rudder of a vessel\nv. change directions as if revolving on a pivot
whenever,"conj. 每当\nadv. 不论何时, 每逢",hwen'evә,,adv. & conj. At whatever time.
whereas,"conj. 然而, 鉴于\n[法] 考虑到, 鉴于, 就...而论",hwєәr'æz,,"adv. At which place; where.\nconj. Considering that; it being the case that; since; --\n   used to introduce a preamble which is the basis of declarations,\n   affirmations, commands, requests, or like, that follow.\nconj. When in fact; while on the contrary; the case being in\n   truth that; although; -- implying opposition to something that\n   precedes; or implying recognition of facts, sometimes followed by a\n   different statement, and sometimes by inferences or something\n   consequent."
wherever,adv. 无论哪里,hwєәr'evә,,r. where in the world
whichever,"pron. 无论那一个, 任何一个",hwitʃ'evә,,pron. & a. Alt. of Whichsoever
whip,"n. 鞭子, 抽打, 车夫, 搅拌器\nvt. 鞭打, 搅拌, 煽动, 召集, 仓促制成\nvi. 拍击, 急走, 抽打",hwip,,n. an instrument with a handle and a flexible lash that is used for whipping\nn. a legislator appointed by the party to enforce discipline\nn. a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit\nn. (golf) the flexibility of the shaft of a golf club
whirl,"n. 回旋, 旋转, 急走, 眩晕\nvt. 使旋转, 使回旋, 卷走\nvi. 回旋, 旋转, 急走, 发晕",hwә:l,,n. confused movement\nn. the shape of something rotating rapidly\nv. cause to spin\nv. fly around
whisky,"n. 威士忌酒, 轻便马车\n[化] 威士忌酒",'hwiski,,n a liquor made from fermented mash of grain
whisper,"n. 耳语, 密谈, 谣传, 沙沙声\nvi. 耳语, 密谈, 沙沙地响\nvt. 低声说",'hwispә,,n. speaking softly without vibration of the vocal cords\nv. speak softly; in a low voice
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声\nvi. 吹口哨, 鸣汽笛, 发嘘嘘声\nvt. 用口哨或吹哨传意, 用口哨演奏",'hwisl,,"n. the sound made by something moving rapidly or by steam coming out of a small aperture\nn. the act of signalling (e.g., summoning) by whistling or blowing a whistle\nn. a small wind instrument that produces a whistling sound by blowing into it\nn. acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound"
whitewash,"n. 白色涂料, 粉饰, 得零分的惨败",'hwaitwɒʃ,,"n. a defeat in which the losing person or team fails to score\nn. wash consisting of lime and size in water; used for whitening walls and other surfaces\nn. a specious or deceptive clearing that attempts to gloss over failings and defects\nv. cover up a misdemeanor, fault, or error"
